"","cdata2.year","cdata2.area1","cdata2.street","cdata2.street22"
"4797",2012,"A","Bridge Street"," "
"4798",2012,"Walsall","Bridge Street Walsall"," "
"4799",2012,"Walsall","Bridge Street Walsall"," "
"4800",2012,"Walsall","Bridge Street Walsall"," "
"4801",2012,"Walsall","Bridge Street Walsall"," "
"4802",2012,"Walsall","Bridge Street Walsall"," "
"4803",2012,"Walsall","Bridge Street Walsall"," "
"4804",2012,"Walsall","Bridge Street Walsall Town Centre"," "
"4805",2012,"Walsall","Bridge Street Walsall"," "
"4806",2012,"Walsall","Bridge Street Walsall"," "
"4807",2012,"Walsall","Bridge Street Walsall"," "
"4808",2012,"Walsall","Bridge Street Walsall"," "
"4809",2012,"Walsall","Bridge Street Walsall"," "
"4810",2012,"Walsall","Bridge Street Walsall"," "
"4811",2012,"Walsall","Bridge Street Walsall"," "
"4812",2012,"Walsall","Bridge Street Walsall"," "
"4813",2012,"Walsall","Bridge Street Walsall"," "
"4814",2012,"Walsall","Bridge Street Walsall"," "
"4815",2012,"Walsall","Bridge Street Walsall"," "
"4816",2012,"Walsall","Bridge Street Walsall"," "
"4817",2012,"Walsall","Bridge Street Walsall"," "
"4818",2012,"Walsall","Bridge Street Walsall"," "
"4819",2012,"Walsall","Bridge Street Walsall"," "
"4820",2012,"Walsall","Bridge Street Walsall"," "
"4821",2012,"Walsall","Bridge Street Walsall"," "
"4822",2012,"Walsall","Bridge Street Walsall"," "
"4823",2012,"Walsall","Bridge Street Walsall"," "
"4824",2012,"Walsall","Bridge Street Walsall"," "
"4825",2012,"Walsall","Bridge Street Walsall"," "
"4826",2012,"Walsall","Bridge Street Walsall Town Centre"," "
"4827",2012,"A","Broad Meddows Road"," "
"4828",2012,"Walsall","Broadway North Walsall"," "
"4829",2012,"Walsall","Bus Station St Paul S Walsall"," "
"4830",2012,"Walsall","Bus Station St Pauls Walsall"," "
"4831",2012,"A","Calderfields Golf Club"," "
"4832",2012,"A","Cambridge Ph"," "
"4833",2012,"A","Cambridge Ph Arundel St"," "
"4834",2012,"A","Cannock Road"," "
"4835",2012,"A","Cannock Road Willenhall"," "
"4836",2012,"A","Car Park Shire Oak Public House Chester Road Brownhills"," "
"4837",2012,"A","Car Park Shire Oak Ph Lichfield Rd"," "
"4838",2012,"A","Castle St"," "
"4839",2012,"A","Cemetary Rd Willenhall"," "
"4840",2012,"A","Church Road Pelsall"," "
"4841",2012,"A","Churchfield Avenue Tipton"," "
"4842",2012,"A","Collinwood Drive"," "
"4843",2012,"A","Colthom Road Willenhall"," "
"4844",2012,"A","Coral Bookmakers High Street Smethwick"," "
"4845",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4846",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4847",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4848",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4849",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4850",2012,"A","Coral Bookmakers Smethwick High Street"," "
"4851",2012,"A","Countess Street"," "
"4852",2012,"Walsall","County Hotel Walsall"," "
"4853",2012,"A","Crown Wharf"," "
"4854",2012,"Walsall","Crown Wharf Walsall"," "
"4855",2012,"Walsall","Crown Wharf Walsall"," "
"4856",2012,"Walsall","Crown Wharf Walsall"," "
"4857",2012,"Walsall","Crown Wharf Walsall"," "
"4858",2012,"Walsall","Crown Wharf Walsall"," "
"4859",2012,"Walsall","Crown Wharf Walsall"," "
"4860",2012,"Walsall","Crown Wharf Walsall"," "
"4861",2012,"A","Dalkeith St"," "
"4862",2012,"Walsall","Darwall Street Walsall"," "
"4863",2012,"Walsall","Darwell St Walsall"," "
"4864",2012,"A","Darwell Street"," "
"4865",2012,"A","Darwell Street"," "
"4866",2012,"A","Darwell Street"," "
"4867",2012,"A","Darwell Street"," "
"4868",2012,"A","Deans Road"," "
"4869",2012,"A","Dorest Drive Aldridge"," "
"4870",2012,"Dudley","Dudley Port"," "
"4871",2012,"A","Ernest Clark Close Willenhall"," "
"4872",2012,"A","Fisher St Whall"," "
"4873",2012,"Walsall","Florence Street Walsall"," "
"4874",2012,"A","Foley Arms"," "
"4875",2012,"A","Foley Road West"," "
"4876",2012,"Walsall","Four Crosses Shelfield Walsall"," "
"4877",2012,"A","Grange Crescent"," "
"4878",2012,"A","Grange Crescent"," "
"4879",2012,"A","Great Arthur Street Smethwick"," "
"4880",2012,"A","Great Bridge Road"," "
"4881",2012,"A","Great Bridge Road Moxley"," "
"4882",2012,"Walsall","Green Lane Walsall"," "
"4883",2012,"Walsall","Hatherton St Walsall"," "
"4884",2012,"Walsall","Hatherton Street Walsall"," "
"4885",2012,"A","Heathfield Lane West"," "
